global_step,epoch,loss,batch_acc
0,0,0.0018091537058353424,0.0
1,0,0.36059242486953735,0.328125
2,0,0.15067514777183533,0.5104166865348816
3,0,0.11377885937690735,0.6015625
4,0,0.001484469510614872,0.0
5,0,0.0059371949173510075,0.0
6,0,0.008077174425125122,0.0
7,0,0.022537369281053543,0.421875
8,0,0.045990992337465286,0.4791666567325592
9,0,0.012587636709213257,0.0
10,0,0.05859878659248352,0.47727271914482117
11,0,0.18586084246635437,0.5052083134651184
12,0,0.0037727216258645058,0.0
13,0,0.004350508097559214,0.0
14,0,0.3582533597946167,0.44583332538604736
15,0,0.0013913384173065424,0.0
16,0,0.2128744125366211,0.43933823704719543
17,0,0.28167909383773804,0.4565972089767456
18,0,0.17333942651748657,0.4736842215061188
19,0,0.15320207178592682,0.4921875
20,0,0.06681796908378601,0.511904776096344
21,0,0.005043693818151951,0.0
22,0,0.04932553321123123,0.508152186870575
23,0,0.22443774342536926,0.5182291865348816
24,0,0.24901945888996124,0.5274999737739563
25,0,0.0023393379524350166,0.0
26,0,0.1511402279138565,0.5208333134651184
27,0,0.0808006078004837,0.5345982313156128
28,0,0.14360545575618744,0.5463362336158752
29,0,0.3099938929080963,0.5531250238418579
30,0,0.0030409577302634716,0.0
31,0,0.06414057314395905,0.5478515625
32,0,0.6531473398208618,0.5445075631141663
33,0,0.1289254128932953,0.5542279481887817
34,0,0.17270618677139282,0.5625
35,0,0.010252994485199451,0.0
36,0,0.008149086497724056,0.0
37,0,0.2301822304725647,0.5386512875556946
38,0,0.14539682865142822,0.5472756624221802
39,0,0.002251575468108058,0.0
40,0,0.0003378702385816723,0.0
41,0,0.006455592345446348,0.0
42,0,0.0010923180961981416,0.0
43,0,0.0,0.5071022510528564
44,0,0.1370958536863327,0.5145833492279053
45,0,0.05720889940857887,0.523777186870575
46,0,0.14219416677951813,0.5305851101875305
47,0,0.11367237567901611,0.5377604365348816
48,0,0.35994046926498413,0.5401785969734192
49,0,0.0836074948310852,0.5475000143051147
50,0,0.2771121859550476,0.5514705777168274
51,0,0.18213734030723572,0.5570913553237915
52,0,0.26217690110206604,0.5607311129570007
53,0,0.179319828748703,0.5659722089767456
54,0,0.007380451075732708,0.0
55,0,0.2614152431488037,0.5597098469734192
56,0,0.0879313051700592,0.5657894611358643
57,0,0.06975340843200684,0.571659505367279
58,0,0.35787433385849,0.5736228823661804
59,0,0.3525215983390808,0.5755208134651184
60,0,0.0017572345677763224,0.0
61,0,0.16819319128990173,0.5700604915618896
62,0,0.03802686184644699,0.5763888955116272
63,0,0.19253656268119812,0.57958984375
64,0,0.1986723095178604,0.5836538672447205
65,0,0.19171056151390076,0.5875946879386902
66,0,0.04523511603474617,0.5928171873092651
67,0,0.3443053960800171,0.5951286554336548
68,0,0.0015003992011770606,0.0
69,0,0.06647522002458572,0.5910714268684387
70,0,0.20726269483566284,0.59375
71,0,0.21378949284553528,0.5963541865348816
72,0,0.0006144562503322959,0.0
73,0,0.002470981562510133,0.0
74,0,0.08576320111751556,0.5845833420753479
75,0,0.31644630432128906,0.5859375
76,0,0.2070923149585724,0.5884740352630615
77,0,0.01670737937092781,0.0
78,0,0.18125009536743164,0.5842563509941101
79,0,0.07188047468662262,0.5882812738418579
80,0,0.27424585819244385,0.5902777910232544
81,0,0.23027737438678741,0.5918444991111755
82,0,0.3626353144645691,0.5929970145225525
83,0,0.263264000415802,0.5948660969734192
84,0,0.12210916727781296,0.5985293984413147
85,0,0.15805798768997192,0.6017441749572754
86,0,0.04696442559361458,0.6056034564971924
87,0,0.02505595237016678,0.6097301244735718
88,0,0.001202501356601715,0.0
89,0,0.001250601839274168,0.0
90,0,0.43893498182296753,0.5961538553237915
91,0,0.0010904556838795543,0.0
92,0,0.08453778177499771,0.5930779576301575
93,0,0.002262907102704048,0.0
94,0,0.0005856737843714654,0.0
95,0,0.3833228349685669,0.5810546875
96,0,0.004375383723527193,0.0
97,0,0.004562703426927328,0.0
98,0,0.20230841636657715,0.5716540217399597
99,0,0.003766816109418869,0.0
100,0,0.0013769158395007253,0.0
101,0,0.08029171824455261,0.563725471496582
102,0,0.06888515502214432,0.5670509934425354
103,0,0.14011584222316742,0.5700120329856873
104,0,0.09007232636213303,0.5732142925262451
105,0,0.0013463669456541538,0.0
106,0,0.23738253116607666,0.5695093274116516
107,0,0.0059928265400230885,0.0
108,0,0.20297661423683167,0.5662270784378052
109,0,0.11595210433006287,0.5690340995788574
110,0,0.08338893949985504,0.5720720887184143
111,0,0.0,0.5756138563156128
112,0,0.15994852781295776,0.5779867172241211
113,0,0.0008267370285466313,0.0
114,0,0.0010102087398990989,0.0
115,0,0.001255563460290432,0.0
116,0,0.0009235110483132303,0.0
117,0,0.04513544589281082,0.5614407062530518
118,0,0.09078686684370041,0.5640756487846375
119,0,0.001528437016531825,0.0
120,0,0.1437034010887146,0.5617251992225647
121,0,0.11472366005182266,0.5642930269241333
122,0,0.0031138460617512465,0.0
123,0,0.23152653872966766,0.5612398982048035
124,0,0.11343082785606384,0.5637500286102295
125,0,0.0037193926982581615,0.0
126,0,0.11750932782888412,0.5617617964744568
127,0,0.024611303582787514,0.56494140625
128,0,0.0,0.568071722984314
129,0,0.0017731406260281801,0.0
130,0,0.023732589557766914,0.5667939186096191
131,0,0.23010417819023132,0.568418562412262
132,0,0.0016225874423980713,0.0
133,0,0.002316016936674714,0.0
134,0,0.4263032078742981,0.5606481432914734
135,0,0.2155519723892212,0.5622702240943909
136,0,0.0,0.5652372241020203
137,0,0.0009721938404254615,0.0
138,0,0.20461592078208923,0.5627248287200928
139,0,0.0022943858057260513,0.0
140,0,0.001044301432557404,0.0
141,0,0.0021796501241624355,0.0
