epoch,mean_loss,mean_batch_acc
0,0.11452376892927114,0.39341240409035355
1,0.09944422194992672,0.3973639532455108
2,0.08659521707845412,0.4134980338924336
3,0.06933021256403629,0.27438337922845996
4,0.07331609479246849,0.3087155355972314
5,0.07044474841714192,0.2683600685881369
6,0.08497243092590123,0.3374689258869339
7,0.04411967464926969,0.1832282543182373
8,0.0706167493872901,0.293716680328801
9,0.07091566046890978,0.2730191674247478
10,0.04287290679751793,0.09469353196755895
11,0.029187662673124944,0.06295997401078542
12,0.03619877013481081,0.056984948380938115
13,0.02281061424829839,0.0314371423713816
14,0.023839709621253015,0.02976213704864934
15,0.015557876339349925,0.02296829734395885
16,0.02921054962676153,0.03427427618196176
17,0.03024350332957253,0.042259946699787235
18,0.013109788913585453,0.02513478162153712
19,0.020507231874463922,0.022178874169505616
20,0.02232065150152186,0.02454295220240107
21,0.017784764320730912,0.0142877275042189
22,0.025813314209728058,0.025438887096426024
23,0.030256705642524088,0.03990423463800418
24,0.014523424365260834,0.009704465948560703
25,0.021315546159386495,0.018505640749661427
26,0.023409186224778968,0.023595643868236423
27,0.01113720145730892,0.012602462333703192
28,0.015010973741465143,0.013104904419596091
29,0.013265609578256943,0.013469931839397119
30,0.013689939313981487,0.018359668131144542
31,0.010432027184141584,0.0037509791740456466
32,0.015336180794046922,0.012436817933178548
33,0.022392568307062582,0.018497079938837566
34,0.01352141917188602,0.013743748689222636
35,0.019732463660599803,0.008817266860285645
36,0.01777039071721275,0.013232455313580591
37,0.009342439654253938,0.007497262982827313
38,0.008359716459998931,0.0055357388355447065
39,0.011366915875173075,0.010112577967298855
40,0.018277781426104124,0.01839432453022063
41,0.014219225045665513,0.024568176400736445
42,0.016203133624747,0.012944996966131078
43,0.0148371947125613,0.009553542630102649
44,0.018712549220877495,0.01726898138628066
45,0.018002863496506465,0.0053387684103265495
46,0.013466607117564153,0.005871180351237831
47,0.015986341491335,0.0063809686158813024
48,0.019115343768626992,0.013348089308483796
49,0.018303265192259673,0.009840722728825215
