b_acc,epoch,epoch_loss,loss,lr-AdamW,step
,,,,3.6e-05,9
0.0,0,,0.012587104924023151,,9
,,,,7.6e-05,19
0.4921875,0,,0.1532043218612671,,19
,,,,0.000116,29
0.5531250238418579,0,,0.3100109100341797,,29
,,,,0.00015600000000000002,39
0.0,0,,0.0022595098707824945,,39
,,,,0.000196,49
0.5475000143051147,0,,0.08320446312427521,,49
,,,,0.0002,59
0.5755208134651184,0,,0.35737907886505127,,59
,,,,0.0002,69
0.5888392925262451,0,,0.137729674577713,,69
,,,,0.0002,79
0.599609375,0,,0.0,,79
,,,,0.0002,89
0.6163194179534912,0,,0.0,,89
,,,,0.0002,99
0.0,0,,0.0031331514474004507,,99
,,,,0.0002,109
0.5948863625526428,0,,0.11338233947753906,,109
,,,,0.0002,119
0.0,0,,0.0015267191920429468,,119
,,,,0.0002,129
0.0,0,,0.0009265719563700259,,129
,,,,0.0002,139
0.0,0,,0.00143569300416857,,139
,,,,0.0002,149
0.0,0,,0.0019409495871514082,,149
,0,0.11452376842498779,,,158
,,,,0.0002,159
0.0,1,,0.0005343607626855373,,159
,,,,0.0002,169
0.0,1,,0.0021043182350695133,,169
,,,,0.0002,179
0.5223214030265808,1,,0.09463232755661011,,179
,,,,0.0002,189
0.5483871102333069,1,,0.11244525760412216,,189
,,,,0.0002,199
0.5045731663703918,1,,0.15538831055164337,,199
,,,,0.0002,209
0.5263480544090271,1,,0.0,,209
,,,,0.0002,219
0.0,1,,0.0008174142567440867,,219
,,,,0.0002,229
0.0,1,,0.0006715268827974796,,229
,,,,0.0002,239
0.5698302388191223,1,,0.08198681473731995,,239
,,,,0.0002,249
0.5779532790184021,1,,0.26248711347579956,,249
,,,,0.0002,259
0.5798267126083374,1,,0.34262150526046753,,259
,,,,0.0002,269
0.5892454981803894,1,,0.5024811029434204,,269
,,,,0.0002,279
0.5942665338516235,1,,0.27027446031570435,,279
,,,,0.0002,289
0.5975667834281921,1,,0.20272794365882874,,289
,,,,0.0002,299
0.6035017967224121,1,,0.4568265676498413,,299
,,,,0.0002,309
0.6115480065345764,1,,0.1097983717918396,,309
,1,0.09944422543048859,,,317
,,,,0.0002,319
0.859375,2,,0.06865118443965912,,319
,,,,0.0002,329
0.5963541865348816,2,,0.0,,329
,,,,0.0002,339
0.0,2,,0.002239972585812211,,339
,,,,0.0002,349
0.615234375,2,,0.16837739944458008,,349
,,,,0.0002,359
0.0,2,,0.001966937445104122,,359
,,,,0.0002,369
0.0,2,,0.0014894937630742788,,369
,,,,0.0002,379
0.586693525314331,2,,0.3699568510055542,,379
,,,,0.0002,389
0.5755208134651184,2,,0.1270989328622818,,389
,,,,0.0002,399
0.5800305008888245,2,,0.0668506920337677,,399
,,,,0.0002,409
0.0,2,,0.0007258763071149588,,409
,,,,0.0002,419
0.5738357901573181,2,,0.15345048904418945,,419
,,,,0.0002,429
0.5678013563156128,2,,0.1333385407924652,,429
,,,,0.0002,439
0.5860655903816223,2,,0.2058015763759613,,439
,,,,0.0002,449
0.5944602489471436,2,,0.045361049473285675,,449
,,,,0.0002,459
0.6073943376541138,2,,0.23911559581756592,,459
,,,,0.0002,469
0.6062911152839661,2,,0.2693600654602051,,469
,2,0.08659521490335464,,,476
,,,,0.0002,479
